index,Lever position,Ship speed (v),Gas Turbine (GT) shaft torque (GTT) (kN m),GT rate of revolutions (GTn) (rpm),Gas Generator rate of revolutions (GGn) (rpm),Starboard Propeller Torque (Ts) (kN),Port Propeller Torque (Tp) (kN),Hight Pressure (HP) Turbine exit temperature (T48) (C),GT Compressor outlet air temperature (T2) (C),HP Turbine exit pressure (P48) (bar),GT Compressor outlet air pressure (P2) (bar),GT exhaust gas pressure (Pexh) (bar),Turbine Injecton Control (TIC) (%),Fuel flow (mf) (kg/s),GT Compressor decay state coefficient,GT Turbine decay state coefficient
1432,2.088,6,6139.951,1352.066,6807.508,23.773,23.773,614.795,576.434,1.301,7.099,1.019,21.753,0.271,0.956,0.978
6792,7.148,21,39001.744,2678.032,9118.198,332.357,332.357,835.137,690.885,2.983,15.775,1.035,44.848,0.888,0.979,0.975
8122,5.14,15,21628.726,1924.333,8478.536,175.235,175.235,696.126,633.969,2.084,11.044,1.027,24.556,0.486,0.984,0.993
1552,5.14,15,21637.304,1924.338,8503.518,175.29,175.29,712.58,641.21,2.076,11.024,1.026,25.331,0.501,0.956,0.991
8483,6.175,18,29761.622,2306.828,8795.259,245.985,245.985,774.755,666.256,2.513,13.337,1.03,34.378,0.681,0.986,0.981
7342,8.206,24,50993.855,3087.481,9303.836,438.016,438.016,921.834,730.434,3.592,18.549,1.042,60.344,1.195,0.981,0.984
4581,1.138,3,3644.433,1416.481,6720.735,11.457,11.457,544.618,562.922,1.232,6.614,1.019,0.0,0.177,0.969,0.99
11728,2.088,6,4351.076,1392.804,6737.707,31.193,31.193,532.709,561.212,1.259,6.827,1.02,0.0,0.166,1.0,0.978
5253,7.148,21,38990.948,2678.071,9127.123,332.266,332.266,828.413,691.132,2.972,15.563,1.035,44.196,0.875,0.972,0.986
9184,5.14,15,21625.029,1924.313,8463.174,175.204,175.204,705.008,634.912,2.089,11.187,1.026,25.104,0.497,0.989,0.981
10084,5.14,15,21623.02,1924.307,8455.962,175.223,175.223,706.85,634.683,2.091,11.239,1.026,25.236,0.5,0.993,0.977
350,9.3,27,72772.935,3560.424,9786.607,645.057,645.057,1103.908,787.042,4.484,22.491,1.049,91.208,1.806,0.951,0.987
8693,9.3,27,72760.007,3560.361,9737.681,644.77,644.77,1071.214,775.449,4.54,22.971,1.051,89.352,1.769,0.987,0.978
2447,9.3,27,72770.464,3560.422,9775.469,644.873,644.873,1094.272,783.818,4.497,22.576,1.049,90.602,1.794,0.96,0.986
8824,5.14,15,21627.81,1924.332,8475.741,175.23,175.23,694.608,633.249,2.085,11.048,1.027,24.486,0.485,0.987,0.993
5999,6.175,18,29790.297,2307.469,8817.823,246.192,246.192,769.578,666.725,2.506,13.185,1.03,33.958,0.672,0.975,0.991
6123,4.161,12,14720.426,1547.453,7741.299,113.755,113.755,645.814,607.492,1.662,8.995,1.022,17.46,0.346,0.976,0.979
